Optimizer,Run_Number,Run_Time_Seconds,Best_Score,Best_CV_Accuracy,Mean_CV_Accuracy,Std_CV_Accuracy,Mean_F1_Score,Mean_Precision,Mean_Recall,Dataset
QPSOL,10,892.3438928,0.942673715,0.942673715,0.943547077,0.014580141,0.941030703,0.95657015,0.926543817,NSCLC
QPSOL,11,657.4444094,0.942677545,0.942677545,0.942673715,0.008941913,0.940124367,0.956438298,0.924725635,NSCLC
QPSOL,12,806.5702024,0.942673715,0.942673715,0.941796522,0.007846305,0.93927809,0.955050483,0.924742015,NSCLC
QPSOL,13,799.6073251,0.940919329,0.940919329,0.939161112,0.009061294,0.936675271,0.949580021,0.924725635,NSCLC
QPSOL,14,726.0851779,0.938295411,0.938295411,0.940045966,0.009435293,0.937468177,0.951257225,0.924725635,NSCLC
QPSOL,15,736.6811652,0.941796522,0.941796522,0.941796522,0.007846305,0.939050753,0.958654057,0.921105651,NSCLC
QPSOL,16,842.8016207,0.942669884,0.942669884,0.942669884,0.010167759,0.940212801,0.955083448,0.926527437,NSCLC
QPSOL,17,796.8149672,0.941800352,0.941800352,0.941800352,0.009588605,0.939160918,0.956674992,0.922940213,NSCLC
QPSOL,18,697.5123734,0.939172604,0.939172604,0.939172604,0.011611402,0.936646587,0.951288956,0.922956593,NSCLC
QPSOL,19,800.1858156,0.942669884,0.942669884,0.942669884,0.013428704,0.940083677,0.956535536,0.924725635,NSCLC
QPSOL,20,779.9607203,0.940911668,0.940911668,0.938283919,0.011597329,0.93576456,0.947826503,0.924709255,NSCLC
ESSA,1,784.3620782,0.93829158,0.93829158,0.936533364,0.008531154,0.933848816,0.947834437,0.921089271,NSCLC
ESSA,2,758.4284117,0.940049797,0.940049797,0.942673715,0.010882609,0.940028063,0.958302556,0.922923833,NSCLC
ESSA,3,738.705112,0.940045966,0.940045966,0.938299242,0.012175931,0.935240805,0.954706688,0.917502048,NSCLC
ESSA,4,869.8283107,0.940045966,0.940045966,0.940923159,0.007525057,0.938244729,0.955126507,0.922940213,NSCLC
ESSA,5,1111.461241,0.93829158,0.93829158,0.937414387,0.013869944,0.934428034,0.95260138,0.917485667,NSCLC
ESSA,6,906.960145,0.937418218,0.937418218,0.937418218,0.013854241,0.93414003,0.956094205,0.913865684,NSCLC
ESSA,7,820.1139593,0.936541025,0.936541025,0.936541025,0.010870072,0.933097294,0.958187612,0.91022932,NSCLC
ESSA,8,703.9965665,0.940923159,0.940923159,0.940045966,0.010218322,0.93721398,0.956863227,0.919303849,NSCLC
ESSA,9,934.08653,0.937410557,0.937410557,0.937410557,0.011453654,0.934376384,0.954475968,0.915651106,NSCLC
ESSA,10,736.0081348,0.940919329,0.940919329,0.940042136,0.011969791,0.937201816,0.956638992,0.919287469,NSCLC
ESSA,11,562.8180087,0.937414387,0.937414387,0.937414387,0.01209162,0.933978068,0.959659488,0.91021294,NSCLC
ESSA,12,1161.978781,0.937422049,0.937422049,0.937422049,0.01205278,0.934021255,0.959825767,0.9102457,NSCLC
ESSA,13,685.4920826,0.936544856,0.936544856,0.936544856,0.008455454,0.933179301,0.958180233,0.91026208,NSCLC
ESSA,14,763.9401956,0.941800352,0.941800352,0.941800352,0.015431791,0.938800401,0.961894373,0.917485667,NSCLC
ESSA,15,1000.567226,0.936541025,0.936541025,0.936541025,0.013405815,0.933670273,0.949002922,0.919303849,NSCLC
ESSA,16,850.7111876,0.93828775,0.93828775,0.93828775,0.01453055,0.935252947,0.954342058,0.917469287,NSCLC
ESSA,17,969.66167,0.937418218,0.937418218,0.937418218,0.009586929,0.934372263,0.954539714,0.915700246,NSCLC
ESSA,18,945.0878222,0.938299242,0.938299242,0.938299242,0.010477591,0.934987182,0.960075505,0.912063882,NSCLC
ESSA,19,1065.07312,0.937418218,0.937418218,0.937418218,0.009176848,0.934459766,0.952790177,0.917502048,NSCLC
ESSA,20,743.1261981,0.937414387,0.937414387,0.940042136,0.010237311,0.937202589,0.956327596,0.919271089,NSCLC
SRA,1,253.5696585,0.939168773,0.939168773,0.939168773,0.011295077,0.936487904,0.951275145,0.922940213,NSCLC
SRA,2,175.6073706,0.940049797,0.940049797,0.937418218,0.013573699,0.93452285,0.953017813,0.917502048,NSCLC
SRA,3,354.8056879,0.941800352,0.941800352,0.941800352,0.011419926,0.939231797,0.955011906,0.924742015,NSCLC
SRA,4,392.5159447,0.943547077,0.943547077,0.942669884,0.012539779,0.940089552,0.956639454,0.924725635,NSCLC
